index,date,price
685,8/7/2014,21.51000023
686,8/8/2014,21.54000092
687,8/11/2014,21.48999977
688,8/12/2014,21.35000038
689,8/13/2014,21.07999992
690,8/14/2014,20.92000008
691,8/15/2014,21.12999916
692,8/18/2014,21.09000015
693,8/19/2014,21
694,8/20/2014,21.37999916
695,8/21/2014,21.53000069
696,8/22/2014,21.53000069
697,8/25/2014,21.53000069
698,8/26/2014,21.70999908
699,8/27/2014,21.62999916
700,8/28/2014,21.62999916
701,8/29/2014,21.62999916
702,9/2/2014,21.37000084
703,9/3/2014,21.12000084
704,9/4/2014,21.31999969
705,9/5/2014,21.34000015
706,9/8/2014,21.34000015
707,9/9/2014,21.34000015
708,9/10/2014,21.34000015
709,9/11/2014,20.93000031
710,9/12/2014,20.82999992
711,9/15/2014,20.82999992
712,9/16/2014,21.31999969
713,9/17/2014,21.31999969
714,9/18/2014,20.89999962
715,9/19/2014,20.77000046
716,9/22/2014,20.48999977
717,9/23/2014,20.48999977
718,9/24/2014,20.68000031
719,9/25/2014,20.47999954
720,9/26/2014,20.47999954
721,9/29/2014,20.52000046
722,9/30/2014,20.29999924
723,10/1/2014,20.29999924
724,10/2/2014,20.29999924
725,10/3/2014,20.27000046
726,10/6/2014,20.44000053
727,10/7/2014,20.43000031
728,10/8/2014,20.42000008
729,10/9/2014,20.38999939
730,10/10/2014,20.35000038
731,10/13/2014,20.55999947
732,10/14/2014,20.63999939
733,10/15/2014,20.20000076
734,10/16/2014,20.05999947
735,10/17/2014,20.05999947
736,10/20/2014,20.13999939
737,10/21/2014,20.48999977
738,10/22/2014,20.26000023
739,10/23/2014,20.47999954
740,10/24/2014,20.53000069
741,10/27/2014,20.5
742,10/28/2014,20.84000015
743,10/29/2014,20.85000038
744,10/30/2014,20.57999992
745,10/31/2014,20.51000023
746,11/3/2014,20.61000061
747,11/4/2014,20.20000076
748,11/5/2014,20.20000076
749,11/6/2014,20.34000015
750,11/7/2014,20.45999908
751,11/10/2014,20.29000092
752,11/11/2014,20.5
753,11/12/2014,20.5
754,11/13/2014,20.06999969
755,11/14/2014,20.45000076
756,11/17/2014,20.45000076
757,11/18/2014,20.45000076
758,11/19/2014,20.37999916
759,11/20/2014,20.27000046
760,11/21/2014,20.37000084
761,11/24/2014,20.22999954
762,11/25/2014,20.18000031
763,11/26/2014,19.88999939
764,11/28/2014,19.30999947
765,12/1/2014,19.42000008
766,12/2/2014,19.52000046
767,12/3/2014,19.52000046
768,12/4/2014,13.05000019
769,12/5/2014,19.55999947
